Recip_State,County.FIPS,Recip_County_name,County_Median_Income,Income_CountyMedian_vs_StateMedian,Recip_State_Median_Income,unemployment_pct_2020
CA,06001,Alameda County,107589,1.34,80423,8.8
CA,06003,Alpine County,58112,0.72,80423,11.2
CA,06005,Amador County,62640,0.78,80423,9.1
CA,06007,Butte County,58394,0.73,80423,9.2
CA,06009,Calaveras County,68248,0.85,80423,7.6
CA,06011,Colusa County,59048,0.73,80423,16
CA,06013,Contra Costa County,106555,1.33,80423,8.9
CA,06015,Del Norte County,48979,0.61,80423,9.5
CA,06017,El Dorado County,86202,1.07,80423,8.3
CA,06019,Fresno County,56926,0.71,80423,11.3
CA,06021,Glenn County,55682,0.69,80423,8.9
CA,06023,Humboldt County,51134,0.64,80423,8.4
CA,06025,Imperial County,48102,0.6,80423,22.5
CA,06027,Inyo County,59605,0.74,80423,7.8
CA,06029,Kern County,53245,0.66,80423,12.5
CA,06031,Kings County,57297,0.71,80423,11.6
CA,06033,Lake County,46897,0.58,80423,9.6
CA,06035,Lassen County,53613,0.67,80423,7.1
CA,06037,Los Angeles County,72721,0.9,80423,12.8
CA,06039,Madera County,61105,0.76,80423,10.8
CA,06041,Marin County,112069,1.39,80423,6.7
CA,06043,Mariposa County,52760,0.66,80423,10.9
CA,06045,Mendocino County,52309,0.65,80423,8.9
CA,06047,Merced County,59733,0.74,80423,12.2
CA,06049,Modoc County,45311,0.56,80423,8.5
CA,06051,Mono County,66226,0.82,80423,11.8
CA,06053,Monterey County,76509,0.95,80423,10.8
CA,06055,Napa County,90230,1.12,80423,8.7
CA,06057,Nevada County,69550,0.87,80423,8
CA,06059,Orange County,95761,1.19,80423,8.8
CA,06061,Placer County,97688,1.22,80423,7.3
CA,06063,Plumas County,59376,0.74,80423,10.7
CA,06065,Riverside County,72905,0.91,80423,9.9
CA,06067,Sacramento County,71891,0.89,80423,9.3
CA,06069,San Benito County,84209,1.05,80423,9.9
CA,06071,San Bernardino County,67398,0.84,80423,9.4
CA,06073,San Diego County,83576,1.04,80423,9.2
CA,06075,San Francisco County/city,121795,1.51,80423,7.8
CA,06077,San Joaquin County,68458,0.85,80423,11.3
CA,06079,San Luis Obispo County,76599,0.95,80423,7.7
CA,06081,San Mateo County,135234,1.68,80423,6.9
