"","County.FIPS","Number.of.Long.Trips","Recip_County","Recip_State.x","Series_Complete_Pop_Pct","Series_Complete_Yes","County.POP","County_Median_Income","Income_CountyMedian_vs_StateMedian","Recip_State_Median_Income","isRepublican"
"1","53001",6129,"Adams County","WA",24.1,4819,19996,53535,0.68,78674,"1"
"2","06001",89244,"Alameda County","CA",37.9,633709,1672055,107589,1.34,80423,"0"
"3","06005",4951,"Amador County","CA",27.9,11076,39699,62640,0.78,80423,"1"
"4","53003",1839,"Asotin County","WA",22.9,5171,22581,54776,0.7,78674,"1"
"5","41001",2477,"Baker County","OR",48.6,7836,16123,48530,0.73,66955,"1"
"6","41003",7016,"Benton County","OR",35.6,33116,93022,69148,1.03,66955,"0"
"7","53005",17531,"Benton County","WA",27.2,55515,204099,72847,0.93,78674,"1"
"8","06007",18442,"Butte County","CA",29.4,64397,219037,58394,0.73,80423,"0"
"9","06009",6077,"Calaveras County","CA",28.2,12950,45922,68248,0.85,80423,"1"
"10","53007",7291,"Chelan County","WA",39.7,30616,77118,59838,0.76,78674,"1"
"11","41005",31466,"Clackamas County","OR",28.7,119862,417638,80539,1.2,66955,"0"
"12","53009",7130,"Clallam County","WA",43.2,33439,77405,57571,0.73,78674,"0"
"13","53011",38498,"Clark County","WA",28.6,139479,487689,80407,1.02,78674,"0"
"14","41007",4352,"Clatsop County","OR",27.9,11216,40201,59339,0.89,66955,"0"
"15","41009",5611,"Columbia County","OR",24.9,13054,52426,72285,1.08,66955,"1"
"16","53013",575,"Columbia County","WA",25.6,1021,3988,56338,0.72,78674,"1"
"17","06011",3071,"Colusa County","CA",24.9,5361,21530,59048,0.73,80423,"1"
"18","06013",66475,"Contra Costa County","CA",41.3,476659,1154138,106555,1.33,80423,"0"
"19","41011",6281,"Coos County","OR",27.4,17645,64398,49504,0.74,66955,"1"
"20","53015",18359,"Cowlitz County","WA",29.2,32265,110497,57316,0.73,78674,"1"
"21","41013",2438,"Crook County","OR",25.3,6182,24435,58739,0.88,66955,"1"
"22","41015",2460,"Curry County","OR",27.9,6388,22896,51267,0.77,66955,"1"
"23","06015",2503,"Del Norte County","CA",20.2,5620,27822,48979,0.61,80423,"1"
"24","41017",16410,"Deschutes County","OR",33.4,66123,197973,71880,1.07,66955,"0"
"25","41019",13516,"Douglas County","OR",27.5,30508,110938,48940,0.73,66955,"1"
"26","53017",4471,"Douglas County","WA",32.2,13998,43472,63086,0.8,78674,"1"
"27","06017",15474,"El Dorado County","CA",31.6,60917,192775,86202,1.07,80423,"1"
"28","53019",1240,"Ferry County","WA",27.9,2128,7627,47463,0.6,78674,"1"
"29","53021",10759,"Franklin County","WA",20.3,19359,95365,63575,0.81,78674,"1"
"30","06019",83008,"Fresno County","CA",28.4,283708,998972,56926,0.71,80423,"0"
"31","53023",287,"Garfield County","WA",18.1,402,2221,54555,0.69,78674,"1"
"32","41021",447,"Gilliam County","OR",26.7,510,1910,61205,0.91,66955,"1"
"33","06021",4658,"Glenn County","CA",26.7,7591,28431,55682,0.69,80423,"1"
"34","41023",1036,"Grant County","OR",29.7,2135,7189,49792,0.74,66955,"1"
"35","53025",17710,"Grant County","WA",25.2,24647,97806,57152,0.73,78674,"1"
"36","53027",10052,"Grays Harbor County","WA",30.3,22759,75112,59346,0.75,78674,"1"
"37","41025",2067,"Harney County","OR",27,1993,7381,39874,0.6,66955,"1"
"38","41027",2444,"Hood River County","OR",44.5,10413,23400,68835,1.03,66955,"0"
"39","06023",11090,"Humboldt County","CA",30.9,41873,135511,51134,0.64,80423,"0"
"40","06025",19159,"Imperial County","CA",25.5,46268,181443,48102,0.6,80423,"0"
"41","53029",6426,"Island County","WA",33.7,28696,85151,72173,0.92,78674,"0"
"42","41029",16552,"Jackson County","OR",25,55180,220720,56367,0.84,66955,"1"
"43","41031",2342,"Jefferson County","OR",32.1,7927,24695,52543,0.79,66955,"1"
"44","53031",1330,"Jefferson County","WA",50.8,16383,32250,60556,0.77,78674,"0"
"45","41033",7071,"Josephine County","OR",25.9,22632,87382,47533,0.71,66955,"1"
"46","06029",94950,"Kern County","CA",22.8,204910,898728,53245,0.66,80423,"1"
"47","53033",117548,"King County","WA",35.6,801222,2250624,102338,1.3,78674,"0"
"48","06031",14141,"Kings County","CA",18.3,27941,152683,57297,0.71,80423,"1"
"49","53035",10539,"Kitsap County","WA",31.2,84832,271897,79268,1.01,78674,"0"
"50","53037",8412,"Kittitas County","WA",29.1,13932,47876,59172,0.75,78674,"1"
"51","41035",9726,"Klamath County","OR",25.9,17650,68147,53030,0.79,66955,"1"
"52","53039",4452,"Klickitat County","WA",28.5,6382,22393,60567,0.77,78674,"1"
"53","06033",5177,"Lake County","CA",30.7,19747,64322,46897,0.58,80423,"0"
"54","41037",1651,"Lake County","OR",24.1,1894,7859,47867,0.72,66955,"1"
"55","41039",35969,"Lane County","OR",33.5,128182,382633,57212,0.85,66955,"0"
"56","06035",6652,"Lassen County","CA",20,6114,30570,53613,0.67,80423,"1"
"57","53041",16648,"Lewis County","WA",24.8,20035,80786,58525,0.74,78674,"1"
"58","41041",4909,"Lincoln County","OR",39.3,19631,49952,52276,0.78,66955,"0"
"59","53043",2742,"Lincoln County","WA",27.4,3002,10956,60849,0.77,78674,"1"
"60","41043",17753,"Linn County","OR",25.2,32651,129567,61084,0.91,66955,"1"
"61","06037",596013,"Los Angeles County","CA",31.5,3165827,10050244,72721,0.9,80423,"0"
"62","06039",15328,"Madera County","CA",24.9,39224,157526,61105,0.76,80423,"1"
"63","41045",4613,"Malheur County","OR",22.9,6992,30533,42019,0.63,66955,"1"
"64","06041",10818,"Marin County","CA",51.4,132918,258595,112069,1.39,80423,"0"
"65","41047",36388,"Marion County","OR",26.8,93047,347190,64058,0.96,66955,"0"
"66","53045",5404,"Mason County","WA",29.9,19956,66742,63689,0.81,78674,"1"
"67","06045",7860,"Mendocino County","CA",36.4,31574,86742,52309,0.65,80423,"0"
"68","06047",43073,"Merced County","CA",19.4,53802,277330,59733,0.74,80423,"0"
"69","06053",45040,"Monterey County","CA",30.4,131848,433711,76509,0.95,80423,"0"
"70","41049",2837,"Morrow County","OR",28.5,3305,11596,59781,0.89,66955,"1"
"71","41051",43647,"Multnomah County","OR",33.3,270965,813709,72469,1.08,66955,"0"
"72","06055",7894,"Napa County","CA",40.7,56039,137688,90230,1.12,80423,"0"
"73","06057",9930,"Nevada County","CA",32.2,32156,99863,69550,0.87,80423,"0"
"74","53047",4145,"Okanogan County","WA",39.1,16502,42205,44777,0.57,78674,"1"
"75","06059",159779,"Orange County","CA",33.4,1061987,3179602,95761,1.19,80423,"0"
"76","53049",2542,"Pacific County","WA",32.7,7351,22480,50521,0.64,78674,"1"
"77","53051",1627,"Pend Oreille County","WA",21.5,2952,13730,51950,0.66,78674,"1"
